geometry,amenity,is_in,name,addr:city,addr:housename,addr:postcode,addr:street,emergency,healthcare,note,operator,addr:housenumber,opening_hours,addr:district,addr:full,addr:state,phone,source,name:en,email,healthcare:speciality,addr:block,health_facility:type,operator:type,website,wikidata,wikipedia,check_date,addr:subdistrict,level,air_conditioning,branch,building,name:ta,building:levels
POINT (80.2247278 13.0313209),clinic,,Siva clinic,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2048268 13.0862108),clinic,,Neuro Clinic,,,,H Block 5th street,,clinic,,,,Mo-Sa 18:30-20:30,,,,04426164055,,,,,,,,,,,,,,,,,,
POINT (80.1983714 13.0860731),clinic,,Dr. Ram's Diabetes & Endocrine Clinic,,,,"J.J. Complex, Jawaharlal Nehru Road, Thirumangalam",,clinic,,,18,"Mo, We, Fr 18:00-21:00",,,,9333193331,,,,endocrinology,,,,,,,,,,,,,,
POINT (80.1983243 13.0856328),clinic,,Heart Care Clinic,,,,"J.J. Complex, Jawaharlal Nehru Road, Thirumangalam",,,,,58,"Mo-Sa 18:00-21:00, 09:00-18:00; Su 10:00-12:00",,,,,,,,,,,,,,,,,,,,,,
POINT (80.2077881 13.1058085),clinic,,Swami Eye Clinic & Surgi Center,,,,,,clinic,,,,"Mo-Sa 09:00-12:00, 17:30-20:00",,,,,,,,,,,,,,,,,,,,,,
POINT (80.192537 13.0855051),clinic,,Anbu Dental Implant & Maxillofacial Clinic,,,,,,clinic,,,,"Mo-Su 09:30-13:30, 16:30-21:30",,,,9940753151,,,,,,,,,,,,,,,,,,
POINT (80.2217057 13.0298741),clinic,,Viji Clinic,Chennai,,600033,Old Mambalam Road,,clinic,,viyashankar,27,,,,,,,,,general,,,,,,,,,,,,,,
POINT (80.2098688 13.1055632),clinic,,GK Clinic,,,,"South Mada Street, Villivakkam",,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2474284 13.0291736),clinic,,Diabetes and Heart Care Clinic,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2697182 13.0199102),clinic,,,,,,,,clinic,,,,,,,,,,Breast Scan Center,,clinical_pathology,,,,,,,,,,,,,,
POINT (80.2362823 13.057865),clinic,,BK ENT care,Chennai,,600034,Mahalingapuram Main Road,,clinic,,,,"Mo-Sa 10:30-12:30,16:00-20:00; Su unknown",,,,+91 44 2817 1314,,,,otorhinolaryngology,,,,,,,,,,,,,,
POINT (80.2348714 13.055823),clinic,,Suman Clinic,Chennai,,600034,Mahalingapuram Main Road,,clinic,,,76,"Mo-Fr 19:30-21:30, Sa-Su unknown",,,,+91 44 2817 4422,,,,otorhinolaryngology,,,,,,,,,,,,,,
POINT (80.2530089 13.0723143),clinic,,,,,,SAIT Colony 1st Street,,,,,23,Mo-Fr 10:30-14:30,,,,"9841214222,9962222266",,Avizham clinic,,,,,,,,,,,,,,,,
POINT (80.2457288 13.0464568),clinic,,Aryan Clinic,Chennai,,,Narashiman 2nd Street,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2657441 13.0708359),clinic,,,,,,,,clinic,,,,,,,,,,Dr Sayed abuthagir Sayed daibetes codiyologist,,,,,,,,,,,,,,,,
POINT (80.2254523 13.1193228),clinic,,"Raju Nursing Home, Chennai",,,600082,,,clinic,,,,,Chennai,"7/1, Laxmanan Nagar Paper Mills Road",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1876882 13.0844879),clinic,,"Raj Nursing Home, Tiruvallur",,,600037,,,clinic,,,,,Tiruvallur,"1/234, Mmda, Mogappair East",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2560469 13.0793555),clinic,,Sundaravadanan Nursing Home,,,600010,,,clinic,,,,,Chennai,"#136, Ponamallee High Road",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2847452 13.1116559),clinic,,"Angel Nursing Home, Washermenpet",,,600021,,,clinic,,,,,Chennai,"26/21, Telugu St, Washermanpet",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone I,,,,,,,,,,,,,
POINT (80.2065495 13.0477799),clinic,,Vijaya Institute Of Trauma and Orthopadics,,,600026,,,clinic,,,,,Chennai,"No.175, N.S.K.Salai, Vadapalani",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2042052 13.0223545),clinic,,"Mother and Child Care Clinic, Chennai",,,600032,,,,,,,,Chennai,"No:5/4, 3Road Cross Street, Balaji Nagar , Ekkattuthangal",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2090412 13.1025336),clinic,,"Mohan Nursing Home, Tiruvallur",,,600049,,,clinic,,,,,Tiruvallur,M.T.H.. Road Villivakkam Chennai - 49,Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.206874 13.0074586),clinic,,Mina Nursing Home,,,600032,,,,,,,,Chennai,"22/12, G.S.T Road, Guindy",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2355951 13.0440054),clinic,,R.M.D. Nursing Home,,,600017,,,clinic,,,,,Chennai,"13, Raghaviah Road, T Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2496512 13.1122071),clinic,,"Priya Nursing Home, Perambur",,,600011,,,,,,,,Chennai,"10/84, Paddy Field Road, Perambur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2889456 13.1192888),clinic,,"Priya Nursing Home, Chennai",,,600021,,,clinic,,,,,Chennai,"82, Kappal Polu Street Old Washermenpet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2430315 13.0425395),clinic,,Sri Ramana Eye Center,,,600001,,,clinic,,,,,Chennai,"11, Gopalakrishna Street, T Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2315973 13.1173689),clinic,,Sri Sai Sankara Dental Clinic And Orthodontic Cent,,,600082,,,clinic,,,,,Chennai,"80/2, 34 Srp Koil St., T.V.K.Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2665116 13.0422887),clinic,,Sri Sayee Poly Clinic,,,600004,,,clinic,,,,,Chennai,"#37,Oid#17Bheemasena Garden St., Mylapore",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2639461 13.0224512),clinic,,Prakriti Ayurvedic Center,,,600028,,,clinic,,,,,Chennai,"No.22,2nd Main Road,R.A. Puram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1891057 12.9850289),clinic,,Sriram Dental Clinic and Orthodontic Centre,,,600060,,,clinic,,,,,Tiruvallur,"5/4, 29Th St., Nanganallur, Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2858047 13.1217763),clinic,,M.K. Nursing Home,,,600021,,,clinic,,,,,Chennai,"Clock Tower, Tondiarpet, Rathna Sabapathy Street",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone I,,,,,,,,,,,,,
POINT (80.2343653 13.0727703),clinic,,Padmini Nursing Home,,,600031,,,clinic,,,,,Chennai,"9, Pachaiyappa College Hostel Road Chetpet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2596237 13.0213249),clinic,,Raja Annamalai Puram Dispensary No.6,,,600028,,,centre,,,,,Chennai,"Kamaraj Saalai, R.A.Puram",Tamil Nadu,,OpenGovernmentData,,,,,dispensary,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2588713 13.0813437),clinic,,Joseph Eye Clinic,,,600007,,,clinic,,,,,Chennai,"21.Ritherdon Road,Vepery",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2044077 13.0057455),clinic,,Dr Radha Rajendran Nursing Home Pvt Ltd,,,600016,,,clinic,,,,,Kanchipuram,"New No:9, Old No 4A Vembuliamman Koil Street Alandur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2339844 13.0863886),clinic,,Regina Nursing Home,,,600010,,,clinic,,,,,Chennai,"3, Mandapam Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2681853 13.028161),clinic,,The Surgical Clinic and Nursing Home,,,600028,,,clinic,,,,,Chennai,"Old No -15 /New 26-28, Norton Road",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2586031 12.9959072),clinic,,Balaji Nursing Home - Chennai,,,600041,,,clinic,,,,,Chennai,"No.3,Third Street Malavia Avenue, Thiruvanmiyur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1493795 13.0247168),clinic,,Getwel Dental Clinic,,,600016,,,,,,,,Kanchipuram,"N..94 First Floor,Kundrathure Main Road,Porur,Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2207484 12.9815305),clinic,,Ramana Clinic And Nursing Home,,,600004,,,clinic,,,,,Chennai,"320-A(47-A), Velachery Main Road, Velachery",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2576214 13.0490968),clinic,,Gopalapuram Dispensary,,,600086,,,centre,,,,,Chennai,"No.1, 1st Street,Gopalapuram",Tamil Nadu,,OpenGovernmentData,,,,,dispensary,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2034474 13.0854776),clinic,,Uma Eye Clinic Pvt.Ltd,,,600040,,,clinic,,,,,Chennai,"182,Plot No.995 `O` 2nd, Anna Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2712363 13.0177421),clinic,,Apollo Cosmetic Clinic,,,600018,,,,,,,,Chennai,"No. 14, Jayammal Street Teynampat",Tamil Nadu,,OpenGovernmentData,,,multi speciality,,,,,,,,,,,,,,
POINT (80.2419198 13.1118191),clinic,,Subiksha Nursing Home,,,600011,,,clinic,,,,,Chennai,"New.No.32,(Old No.45), Bunder Garden,2nd Street, Perambur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2127641 13.0473231),clinic,,SMV Nursing Home,,,600026,,,clinic,,,,,Chennai,"No:68, Near Vengeshwaran Temple, Vadapalani, South Sivan Koil St",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.2461 13.1272912),clinic,,Fathima Nursing Home,,,600118,,,clinic,,,,,Chennai,"No.6, Moolakadai Junction, Moolakadai, Kamarajar High Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone I,,,,,,,,,,,,,
POINT (80.2415872 13.0780413),clinic,,Halsted Surgical Clinic,,,600010,,,clinic,,,,,Chennai,"815, Poonamalle High Road",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2217737 13.010217),clinic,,Guindy Dispensary,,,600032,,,centre,,,,,Chennai,"Block No.6/1-5, BCGStaff Quarters, Guindy",Tamil Nadu,,OpenGovernmentData,,,,,dispensary,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2775791 13.0290932),clinic,,Fathimah Eye Clinic,,,600004,,,clinic,,,,,Chennai,"No. 23, Arulanandam Street, Santhome",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2468979 13.086608),clinic,,Dr. Meera Nursing Home,,,600010,,,clinic,,,,,Chennai,"# 142/9, Akshaya Building , Purasawalkam High Road, Kellys",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1800171 13.0828407),clinic,,Nivaren Maternity Clinic,,,600037,,,clinic,,,,,Tiruvallur,J J Nagar East Mugappair,Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2469087 13.0027257),clinic,,Voluntary Health Services Medical Centre,,,600113,,,,,,,,Chennai,Chennai,Tamil Nadu,,OpenGovernmentData,,,,,,,,Q20047293,"en:Voluntary Health Services hospital, Chennai",,,,,,,,
POINT (80.2200463 12.9743958),clinic,,Aarthi Priyas Tooth Care Clinic,,,600042,,,clinic,,,,,Chennai,"No. 5, C-Block, Paramount Park, Mega Mart(Upstair), Vijaya Nagar, Velachery",Tamil Nadu,,OpenGovernmentData,,,dentistry,,,,,,,2026-03-11,,,,,,,
POINT (80.2376792 13.1102609),clinic,,Bharani Nursing Home,,,600011,,,clinic,,,,,Chennai,"No.62,Foxen Street Perambur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2082151 12.9378832),clinic,,Balagandhara Varma Nursing Home and Research Center,,,600100,,,clinic,,,,,Kanchipuram,"17, First Main Road Iit Colony",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2374941 13.0533846),clinic,,Bagdi Nursing Home,,,600017,,,clinic,,,,,Chennai,"2, New Giri Road, T. Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2583543 13.0863304),clinic,,C.U. Shah Clinic And Diagnostic Center,,,600007,,,clinic,,,,,Chennai,"# 4,Ritherdon Road,Pursaivakam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2587748 13.0815684),clinic,,Ritherdon Nursing Home,,,600007,,,clinic,,,,,Chennai,"21, Ritherdon Road, Vepery",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2909854 13.1098612),clinic,,Rathina Clinic,,,600013,,,clinic,,,,,Chennai,"# 15, Thoppai Street, Royapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.284929 13.1113476),clinic,,Rathenam Nursing Home,,,600021,,,clinic,,,,,Chennai,"No.1, Kaligarayan Street, Iii Lane, Old Washermenpet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.258056 13.0331886),clinic,,Suraksha Ent Care Centre,,,600018,,,,,,,,Chennai,"Thoppu New No 2 (Old No 64) Dr. Ranga Road, Abhiramapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2821958 13.0970567),clinic,,Janaki E.N.T. Nursing Home,,,600001,,,clinic,,,,,Chennai,"29, Nagamani Garden Street, Seven Wells South, Near Govindappa Naicken Street end, George Town, Flower Bazar Police Station",Tamil Nadu,,OpenGovernmentData,,janakientnh@gmail.com,,,,private,http://www.janakient.com/,,,,Nagamani,,,,,,
POINT (80.2822602 13.1129411),clinic,,Ishwarya Nursing Home,,,600021,,,clinic,,,,,Chennai,"New # 7, Kooresan Street",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2279428 13.1168517),clinic,,Sheeba Multi Speciality Clinic,,,600082,,,clinic,,,,,Chennai,"No.25/17,70 Feet Road,Jawahar Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.20008 12.9926586),clinic,,Sarathy Nursing Home,,,600088,,,,,,,,Kanchipuram,"28, Vellala East 2nd Street, Adambakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2506946 13.1063124),clinic,,Julian Nursing Home,,,600012,,,clinic,,,,,Chennai,"96, Perambur High Road, Near Jamalia Bus Stop Kamalia",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2894968 13.122272),clinic,,Jayam Nursing Home,,,600021,,,clinic,,,,,Chennai,"53,Thandavaraya Mudali Street,Old Washermanpet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2699743 13.0265892),clinic,,Jaya Eye Clinic,,,600028,,,clinic,,,,,Chennai,"12, Norton 3Road Lane Mandavelipakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2097064 13.0313072),clinic,,Maya Nursing Home Pvt Ltd,,,600083,,,clinic,,,,,Chennai,"B - 225, 15Th Avenue Ashok Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2263898 13.1165682),clinic,,Eswari Nursing Home,,,600082,,,clinic,,,,,Chennai,"1/255, 10Th Street S R P Colony",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2730508 13.0644964),clinic,,Lister Nursing Home,,,600002,,,clinic,,,,,Chennai,"#3/2,Appavood Street",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2575208 13.0007709),clinic,,"Lifeline Cliniq , Adyar",,,600020,,,clinic,,,,,Chennai,"37, 1st Avenue, Sastri Nagar, Adyar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2481371 13.1089757),clinic,,Sree Narayana Nursing Home,,,600011,,,clinic,,,,,Chennai,"No 7, Bharathi Road Perambur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1712127 13.0395058),clinic,,Sri Hanu Nursing Home,,,600087,,,,,,,,Tiruvallur,"New No.2,Old No.22,Vani Nagar,Valasaravakkam",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone Xi,,,,,,,,,,,,,
POINT (80.1854472 13.0455758),clinic,,Sri Ganesa Eye Clinic,,,600087,,,clinic,,,,,Tiruvallur,"3/A, Sathyam Flats Ground Floor, Cholan Street, Alwarthirunagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2137016 13.0388943),clinic,,Vaman Clinic Eye and Ent Care,,,600083,,,clinic,,,,,Chennai,"Kala Flats, Ashok Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2573344 12.969346),clinic,,S.S Nursing Home,,,600041,,,clinic,,,,,Chennai,"1/28, Vasudevan Street East Coast Road",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2159499 13.0696298),clinic,,"Peoples Nursing Home, Chennai",,,600029,,,clinic,,,,,Chennai,"No.12/16, New Natarajapuram, Aminjikarai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2819745 13.1101185),clinic,,"Shyamala Nursing Home, Chennai",,,600021,,,clinic,,,,,Chennai,"32, Cemetry Road Old Washermenpet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1861023 13.0452205),clinic,,M.L Dental Clinic,,,600092,,,clinic,,,,,Chennai,"91/2,Arcot Road,Virugambakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2079885 12.998194),clinic,,N.K Clinic,,,600032,,,clinic,,,,,Chennai,"No.51/3 Cart Truck Road, Maduvankarai,Near Beta Matriculation School Guindy",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2723642 13.0576423),clinic,,Nambi Nursing Home and Research Centre,,,603001,,,,,,,,Kanchipuram,"#21, Devarajan Street",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1932403 13.0154215),clinic,,Nandambakkam Dispensary,,,600089,,,centre,,,,,Chennai,"Quarter No.16-19 CDA Residential Complex, Nandambakkam",Tamil Nadu,,OpenGovernmentData,,,,,dispensary,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2481747 13.0666173),clinic,,Nungambakkam Dispensary CandB Block,,,600006,,,centre,,,,,Chennai,"Nungambakkam Dispensary CandB Block, 1stFloor, Shastri Bhavan, Haddows Road",Tamil Nadu,,OpenGovernmentData,,,,,dispensary,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2351539 13.0768865),clinic,,Padma Clinic And Nursing Home,,,600010,,,clinic,,,,,Chennai,"753, Poonamallee High Road Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2124181 13.0479576),clinic,,P&G Nursing Home,,,600026,,,clinic,,,,,Chennai,"No. 42, Near Sivan Koil (Venueshwarar Temple), Vadapalani, 100 Feet Road Jawaharlal Nehru Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.2008538 13.0939374),clinic,,Shivas Eye Care,,,600040,,,,,,,,Chennai,"Plot No:1824/1, 18Th Main Road, Anna Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2260934 13.1255776),clinic,,Shepherd Nursing Home,,,600022,,,clinic,,,,,Chennai,"No. 19, Kumaran Nagar, Main Road, Peravallur Peravallur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2594614 13.0976393),clinic,,Perambur Dispensary,,,600012,,,centre,,,,,Chennai,"No 28, Perambur HighRoad, Perambur",Tamil Nadu,,OpenGovernmentData,,,,,dispensary,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2463347 13.0029165),clinic,,Vhs Diabeted Research Centre,,,600113,,,,,,,,Chennai,T.T.T.I Post,Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2554783 12.9892035),clinic,,Ponraj Eye Clinic,,,600002,,,clinic,,,,,Chennai,"138/2 L B Road,Thiruvanmiyur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2743041 13.0633102),clinic,,Star Bone Joint Center,,,600005,,,clinic,,,,,Chennai,"# 2, Pillaiyar Koil Street, Triplicane",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2462569 13.0836428),clinic,,Akn Nursing Home,,,600010,,,clinic,,,,,Chennai,"20, Kellys Road Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2728282 13.0365779),clinic,,Sampat Nursing Home,,,600004,,,clinic,,,,,Chennai,"4, Nachiappa Street, Mylapore",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2325615 13.0341895),clinic,,Dr Vas Dental Clinic,,,600017,,,clinic,,,,,Chennai,"Old No.33,New No.10.Mannar Street,T.Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.146014 13.1164154),clinic,,Sri Vaishnavi Nursing Home,,,600053,,,,,,,,Tiruvallur,"C-57,2nd Main Road, Thiruvenkada Nagar, Ambattur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2247456 13.084629),clinic,,Rajalakshmi Nursing Home,,,600102,,,clinic,,,,,Chennai,"D-93 (D-107), First Main Road, Anna Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.185183 13.0477067),clinic,,Lalitha Nurshing Home,,,600087,,,clinic,,,,,Tiruvallur,"192,Nakeeran Street, Alwarthirunagar, Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.224244 13.1225671),clinic,,Kts Nursing Home,,,600099,,,clinic,,,,,Tiruvallur,"7/10, Bharathi Nagar, Balaji Nagar Main Road, Kolathur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2162363 13.0883153),clinic,,Darshan Eye Clinic,,,600040,,,clinic,,,,,Chennai,T-80 (New no.24) 5th Main Road,Tamil Nadu,,OpenGovernmentData,,darshaneye@gmail.com; srinikrao@gmail.com; navinjay@yahoo.com,,,,private,,,,,Anna Nagar,,,,,,
POINT (80.2883984 13.1169712),clinic,,Sanjeevini Nursing Home,,,600021,,,clinic,,,,,Chennai,"80, Kappal Polu Street, Old Washermenpet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2876957 13.1168268),clinic,,Vasantha Nursing Home,,,600012,,,clinic,,,,,Chennai,119 Sanjeevarayan Koil Street Old Washerman Pet,Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2227634 13.0257935),clinic,,Sri Balaji Ent And Maternity Clinic,,,600015,,,clinic,,,,,Chennai,"29/59, Near West Jones Road, Saidapet, Sadayappan St",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.2283525 13.0266147),clinic,,Vijay's Nursing Home,,,600035,,,clinic,,,,,Chennai,"39, West Road, West City Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.301336 13.1584009),clinic,,Vinayak Clinic,,,600019,,,clinic,,,,,Tiruvallur,"76,South Mada St.,Thiruvottiyur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.1931438 13.0390577),clinic,,Sucha Eye Cure,,,600078,,,clinic,,,,,Chennai,"Jothir Akshaya Flat-1 No-59, Munusamy Salai Kk Nagar West Near Pondy State Guest House",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
