geometry,addr:postcode,amenity,healthcare,healthcare:speciality,name,name:en,name:etymology:wikidata,name:ta,operator,wikidata,wikipedia,addr:district,addr:full,addr:state,operator:type,source,website,addr:subdistrict,email,operator:wikidata,operator:wikipedia,addr:block,addr:city,check_date,wikimedia_commons,addr:street,phone,wheelchair,opening_hours,addr:housenumber,designation,addr:interpolation,emergency,addr:housename,addr:neighbourhood,addr:suburb,note,is_in,description,internet_access,contact:phone,payment:cash,payment:credit_cards,payment:debit_cards,alt_name,start_date,whatsapp,speciality,image,mobile,payment:google_pay,payment:insurance,contact:mobile,name:hi,name:ml,building,official_name,operator:short,landuse,short_name,name:tn,fax,building:levels,comment,contact:email,type
POINT (80.1841397 12.973463),600061,hospital,hospital,,K.F. Hospital,,,,,,,Kanchipuram,"5, Sarwamangala Nagar, Nanganallur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.239884 13.0061338),,hospital,hospital,,Cancer Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2589871 13.0720996),,hospital,hospital,,Govt Maternity Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.257025 13.0735496),,hospital,hospital,,Institute of Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2591463 13.0735431),,hospital,hospital,,Institute of Obstetrics and Gynaecology dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1858412 13.0211808),600089,hospital,hospital,,MIOT International,,,,,,,Chennai,"Manapakkam, 4/112, Mount Poonamalle Road",Tamil Nadu,private,OpenGovernmentData,https://www.miotinternational.com/,,enq@miothospitals.com,,,,,,,"4/112, Mount Poonamalle High Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu 600089",044 4200 2288,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2440921 13.0293624),600035,hospital,hospital,,Venkataeswara Hospitals,,,,,,,Chennai,"121-A(New No-36A), Chamiers Road, Nandanam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2067733 12.9653846),,hospital,hospital,,Sarswathi Hospital,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2041657 13.05244),,hospital,hospital,,Apollo Clinic & Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2070144 13.0483819),,hospital,hospital,,Vijaya Heart Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1499411 13.1181104),600053,hospital,,,B.M.Orthopaedic Hospital,,,,,,,Tiruvallur,"# 3/157, M.T.H.Road, ,Ambattur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.211027 13.0495316),600026,hospital,hospital,multi speciality,"Vasan Eye Care Hospital, Vadapalani",,,,,,,Chennai,"D No 154/2, Aroot Road, Vadapalani",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1942138 13.0571293),,hospital,hospital,,JJ Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2151198 13.0750445),,hospital,hospital,,Appasamy Hospital,,,,Appasamy Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2148826 13.073239),,hospital,hospital,,Appasamy Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2178866 13.0892073),,hospital,hospital,,Appolo Clinic,,,அப்பல்லோ மருத்துவமனை,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1810857 13.0331325),600089,hospital,hospital,,Srm Speciality Hospital,,,,,,,Tiruvallur,"50 Bharathi Street, Ramapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1801201 13.0321291),,hospital,hospital,,SRM Dental Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2118365 13.0554597),600026,hospital,hospital,,Aakash Fertility Centre & Hospital,,,,,,,Chennai,"No:10, 100 Feet Road, Opp. Hotel Ambika Empire, Vadapalani",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2434416 13.0508335),600017,hospital,hospital,ophthalmology,Rajan Eye Care Hospital,,,,,,,Chennai,"5,Vidyodaya East Second Street, Behind Vidyodaya School",Tamil Nadu,,OpenGovernmentData,https://rajaneyecare.com/,,rajaneye@vsnl.com,,,,Chennai,,,Vidyodaya 2nd Cross Street,2834 0500/0300,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.211745 13.0583046),,hospital,,,sree dhanalakshmi family clinic,,,,,,,,,,,,,,,,,,,,,,,,,,sree dhanalakshmi family clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2474724 12.9663879),600096,hospital,,,Bhadra Homeo,,,,,,,,,,,,,,,,,,CHENNAI,,,PERUNGUDI,,,,,,KANDANCHAVADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2305209 13.0626045),600094,hospital,hospital,,Amma Hospital,,,,,,,,,,,,,,,,,,Chennai,,,"7th street, Choolaimedu high road",,,,1,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2405731 13.0787952),600010,hospital,hospital,,Right Hospitals,,,,,,,Chennai,"1, Prof. Subramaniam Street (Behind Ega Theatre) , Kllpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2552541 13.0015307),,hospital,hospital,,Vasan Eye Care Hospital,,,,,,,,,,,survey,,,,,,,,,,,,,,,Hospital,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2011738 13.0584072),,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1572422 13.1187083),600053,hospital,,,Ashwini Eye Care,,,,,,,Tiruvallur,"No.G4, Srivatsa Apartments, Plot No:196, Old Mth Road,Ambattur, Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2044922 12.9799192),,hospital,hospital,,Prime Care Nursing Home,,,,,,,,,,,,,,,,,,,,,"44, Shakti Nagar Main Road, Adambakkam, Balaji Nagar, Adambakkam, Chennai, Tamil Nadu 600088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2050055 13.0677233),,hospital,,,Apollo Free Emergency Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2165845 13.0385656),,hospital,hospital,,Agarwal Hospital,,,,,,,,,,,local knowledge,,,,,,,,,,,,,,,Opthalmologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2004752 13.0849671),,hospital,hospital,,Senthil Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1991661 13.0868667),600040,hospital,hospital,,I K Hospital,,,,,,,Chennai,"2/1911, J-Block, 15 Th Main Road, Anna Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2286587 12.9800456),,hospital,hospital,,Ortho clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1644897 13.0358564),,hospital,,,JK Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2009134 12.9933638),600088,hospital,hospital,,SP Hospital,,,,,,,Kanchipuram,"No 11, Vellalar 1st Street, Adambakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2337388 12.9321684),,hospital,,,Fourtts India Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1932105 12.9837958),600001,hospital,hospital,,Rotary Central Margaret Sidney Hospital,,,,,,,Chennai,"No. 13, 7Th Street,Nanganallur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1850278 12.9786524),,hospital,hospital,,Sri Chakra Hospital,,,,,,,,,,,,,,,,,,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1886083 12.9842586),,hospital,hospital,,Dr. Janardhanan Multispeciality Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.268345 13.076782),,hospital,hospital,,Dr Venugopals' Sundaram Clini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2678381 13.0768734),,hospital,hospital,,Dr Kabir's Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2672427 13.0764345),,hospital,hospital,,Dr Sridhars'Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2594411 13.0921812),,hospital,hospital,,Vepery Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.191882 12.9658002),600091,hospital,hospital,,Vasan Eye care,,,,,,,Kanchipuram,"No: 683/5, Mahalingam Street ( Near Sbi ) Madipakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2236256 13.0929667),600102,hospital,hospital,,Jaws Dental Foundation,,,,,,,,,,,,,,,,,,Chennai,,,30th Street,,,,158,,,yes,Dr. A. Aniz,O Block,Anna Nagar East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2594702 13.0205681),,hospital,hospital,,Chennai Skin Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2082964 12.9710287),600091,hospital,hospital,,Sukrthi Nursing Home,,,,,,,,,,,,,,,,,,Chennai,,,Mullai Street,,,,21,,,yes,Sukrthi Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1784622 13.0405941),600087,hospital,,Cataract; Cornea and Refractive; Cornea; Lasik; Refractive; Contact Lens; Retina; Orbit and Oculoplasty; Glaucoma; Uvea; Neuro Ophthalmology; Squint and Pediatric Ophthalmolog,A.N.N Hospital,,,,,,,Chennai,"81-85, Near Indian Bank & Andhra Meals Hotel, Valasaravakkam",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone Xi,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2573008 13.0381705),60004,hospital,hospital,,Kauvery Hospital,,,,,,,,,,,,https://www.kauveryhospital.com/,,,,,,Chennai,,,Luz Church Road,+914440006000,yes,,#199,,,yes,,,,The building is shared by Lifestyle Home Center and the hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2298924 12.9862735),600042,hospital,hospital,,Velachery SABA Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Velachery;Chennai;TN;Tamilnadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2223505 12.9767775),,hospital,hospital,,Kaya Skin clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1870589 13.0859961),600037,hospital,hospital,,Madras Medical Mission Hospital - Institute of Cardio Vascular Diseases,,,,,Q14956788,en:Madras Medical Mission,Chennai,"4 - A, Dr.J.Jayalalitha Nagar, Mogappair",Tamil Nadu,private,OpenGovernmentData,http://www.madrasmedicalmission.org/,,icvddoctors@mmm.org.in,,,,Chennai,,,,044 2656 5991,yes,,4-A,,,yes,,,Mogappair East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2488406 13.1260907),600118,hospital,hospital,,Pavithra Hospital,,,,,,,Chennai,"No.7, Ethiraiswami Salai, Erukkenchery",Tamil Nadu,,OpenGovernmentData,,,,,,,Chennai,,,Ethiraj Samy Salai,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2497746 13.0642564),600006,hospital,hospital,,Shankara Netralaya Eye Hospital,,,,,,,,,,,,https://sankaranethralaya.org/,,,,,,,,,Pycrofts Garden Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.187599 12.9733792),600061,hospital,hospital,,Srinivasan Rajalakshmi Memorial Hospital,,,,"Dr. S.Krishnan , MD.RT, Dr. Mrs. P. Radha [MD]",,,Kanchipuram,"11/77, Voltas Colony,6Th Street Nanganallur- 61",Tamil Nadu,private,OpenGovernmentData,,,,,,,nanganallur,,,"6th street,voltas colony","+91 98401 17136, +91 44 4504 6010",yes,,11/77,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1829882 13.026489),,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1889685 13.0380047),,hospital,hospital,,Chennai Medical Centre Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2114304 13.0515961),600026,hospital,hospital,,SRM Institutes For Medical Science,SRM Institutes For Medical Science,,,,,,Chennai,"No.1, Next To Vadapalani Metro Station, Vadapalani, Jawaharlal Nehru Salai",Tamil Nadu,,OpenGovernmentData,https://www.simshospitals.com/,,,,,Chennai Zone X,,,,Jawaharlal Nehru Road (100 Feet Road),+91 44 2000 2001,,24/7,No. 1,,,,,,,,,SIMS Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2395364 13.0135999),,hospital,,,HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2905249 13.1133021),600013,hospital,hospital,,,GURU EYE HOSPITAL,,,,,,,,,,,,,drasrajaguru@gmail.com,,,,,,,SOMU STREET 6th LANE,+914425980998,,Mo-Su 09:00-21:00,6,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2429369 13.1131363),600011,hospital,hospital,,,J.M Hoapital,,,,,,Chennai,"Siruvallur, Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2727336 13.0527235),600014,hospital,hospital,,The Cresent Hospital,The Crescent Hospital,,,,,,Chennai,"New No:91, Old No: 46, Royapettah, Dr. Besant Road",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone Ix,,,,,,,Mo-Sa 08:00-13:00; Su 08:00-12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2375326 13.0590329),600034,hospital,hospital,,Biocosmo Healthcare,Biocosmo Healthcare,,,,,,,,,,,,,,,,,,,,Mahalingapuram Main Road,7200080075,,Mo-Sa 10:30-19:30; Su 14:30-19:30,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1805593 13.0799682),,hospital,,,VSR Hospital,,,,,,,,,,,,,,,,,,,,,Church road,,,,"plat no pc 5, black 10",,,,,,,,,"VSR HOSPITAL is a Cardiology clinic in Mogappair East, Chennai. The clinic is visited by doctors like Dr. Jyotirmaya Dash.",,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1804976 13.0800478),,hospital,,,New Life Family Hospitals,,,,,,,,,,,,http://newlifehospitals.com/,,,,,,,,,Church road,044 26566823,,,4,,,,,,,,,"New Life Hospitals is one of the distinguished multi super-specialty hospitals in Chennai, providing health care facilities in areas of cardiology, neurology, orthopedics, gynecology,urology, pediatrics, diabetics, Dermatology and so on.",,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2083222 13.0497391),600017,hospital,hospital,,Vijaya Group of Hospital,,,,,,,Chennai,"Gopathi Narayanaswami Chetty Rd, Satyamurthy Nagar, T. Nagar",Tamil Nadu,,OpenGovernmentData,https://vijayahospital.org/,,,,,Chennai Zone Ix,,,,"New No:434, Old No:180, NSK Salai Rd, Vadapalani, Chennai, Tamil Nadu 600026",044 6664 6600,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.275747 13.0615207),600005,hospital,hospital,,ஹிபா சிறப்பு மருத்துவமனை,hiba specility hospital,,,,,,Chennai,"Old No-25 New No:53, Big Street, Near Hindu Higher Secondary School",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,Veeraraghava Street (Big St),,,24/7,"25,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2293536 12.9856999),,hospital,hospital,,ARK Hospital,,,,,,,,,,,,,,,,,,,,,Gandhi Road,,,,,,,,,,,,Velachery;Chennai;Tamilnadu;TN;India;IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2228983 13.031147),600033,hospital,hospital,general,Annamalai Hospital,,,,Annamalai,,,Chennai,"# 27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",Tamil Nadu,,OpenGovernmentData,,,,,,,Chennai,,,Govindan Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2207913 13.0319539),600015,hospital,hospital,general;orthopaedics,Ezhil Hospital,,,,Durairaj,,,,,,,,,,,,,,Saidapet,,,Govindan Road,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2043658 12.9794),,hospital,hospital,,"Qure Ortho Clinic, Physiotherapy, X Ray & Pharmacy",,,,,,,,,,,,,,,,,,,,,"68, 18th St, Balaji Nagar Extn-II, Vanuvampet, Madipakkam, Chennai, Tamil Nadu 600088",095000 06644,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2085951 13.0289663),,hospital,hospital,,Nivas Skin Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2451004 13.0337515),600035,hospital,hospital,oncology,Apollo Cancer Centres,,,,,,,CHENNAI,"4th Floor, Geo Tower, Old No.319, New No.465, Anna Salai, Nandanam, Chennai",Tamil Nadu,private,OpenGovernmentData,https://apollocancercentres.com/,,apollocancercentres.digital@gmail.com,,,,Chennai,,,"Anna Salai, Teynampet,",,,24/7,"Nandanam, 320,",,,,,,,,,,,04424347288;04424331741;04424336119,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.230346 13.0329888),600017,hospital,hospital,,Raju Hospitals,,,,,,,Chennai,"No:43, Near Bus Terminus, T. Nagar, South Usman Road",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.177473 13.042307),600087,hospital,,,Rakshith Hospitals,,,,,,,Tiruvallur,"153, Arcot Road, Sai Square Complex Valasaravakkam Chennai Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2507134 13.0063976),600001,hospital,hospital,,Sri Kalyan Hospital,,,,,,,Chennai,"12, First Main Road Kasturba Nagar Adyar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2418775 13.1105649),600011,hospital,hospital,,Sen Hospital,,,,,,,Chennai,"New No. 51, 18,Bunder Garden Street,Perambur,Opposite Lourdes Girls School",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2272588 13.0757435),600030,hospital,hospital,,Billroth Hospitals,,,,,,,Chennai,"43, Lakshmi Talkies Road, Shenoy Nagar",Tamil Nadu,private,OpenGovernmentData,https://www.billrothhospitals.com/,Shenoy Nagar,support@billroth.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
