geometry,amenity,atm,brand,brand:wikidata,brand:wikipedia,name,name:en,short_name,branch,website,brand:en,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,brand:wikipedia:pa,name:hi,name:kn,name:pa,name:pnb,name:ur,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,phone,drive_through,created_by,operator,brand:ta,name:ta,old_name,source,air_conditioning,check_date,currency:INR,internet_access,addr:housename,designation,email,postal_code,level,addr:block,addr:suburb,wheelchair,operator:wikidata,operator:wikipedia,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,office,not:brand:wikidata,description,image,opening_hours:covid19,internet_access:fee,building,addr:district,note,building:levels,addr:full
POINT (80.2029955 12.9290002),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2031028 12.9292878),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://www.sbi.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2643255 13.0266099),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,State Bank of India,SBI,Mandaveli,,,,,,,,,,,,,,,,,,,,no,,,,,,,yes,2024-05-22,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2618783 12.9773096),bank,yes,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1556788 13.1189755),bank,yes,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,KVB,,https://www.kvb.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.236607 13.0105048),bank,no,Canara Bank,Q2003777,,Canara Bank,Canara Bank,,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,600025,,,,,,Canara Bank,,,,,,,,,CEG Main Canteen,Bank,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2360276 13.0107323),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,Sardar Patel Road,,,,,SBI,,,,,,,,,Red Building,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2181878 12.9802599),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KG Bellaire,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2217431 12.9820021),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2188087 12.9713224),bank,yes,IDBI Bank,Q3633485,en:IDBI Bank,IDBI Bank,IDBI Bank,IDBI,Velachery,https://www.idbi.com,,,,,,,,,,,,,Chennai,26,600042,Velachery Main Road,"Mo-Sa 10:00-16:00; Sa[2,4] off",+91 44 4868 1261;+91 44 4868 1262;+91 44 4868 1263,no,,,,,Industrial Development Bank of India,,,,,,,,IBKL0000736@idbi.co.in,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.25424 13.0710517),bank,,Union Bank of India,Q2004078,en:Union Bank of India,Union Bank of India,Union Bank Of India,,,,,,,,,,,,,,,,Chennai,10,600008,Casa Major Road,,,,,,,,,,,,,,Elcanso Complex,,,600010,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2192371 13.0387544),bank,yes,State Bank of India,Q1340361,en:State Bank of India,SBI - State Bank of India,,SBI,,,,,,,,,,,,,,,,,600033,Mahadevan Street,,,,,,,,,I live in this area,,,,,State Bank of India Building,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1738116 13.0218724),bank,yes,HDFC Bank,Q631047,,HDFC Bank,,HDFC,DLF IT Park Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2197941 13.0365141),bank,yes,Karnataka Bank,Q2042632,,Karnataka Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2209669 13.0349866),bank,,Bank of India,Q2004439,en:Bank of India,Bank of India,Bank of India,BoI,,https://www.bankofindia.co.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2208673 12.9750142),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.221554 12.9773797),bank,yes,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,ICICI Bank,ICICI,,https://www.icicibank.com,,,,,,,,,,,,,Chennai,137,600042,LIC Colony Main Road,"Mo-Sa 09:30-15:00; Sa[2,4] off",,,,,,,,Visit,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2399511 12.9466667),bank,,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1998969 12.9933298),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1942351 12.9865035),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,600061,Nanganallur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1879831 12.9782135),bank,yes,Bank of India,Q2004439,en:Bank of India,Bank of India,Bank of India,BoI,,https://www.bankofindia.co.in/,,,,,,,,,,,,,Chennai,,,46th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.188364 12.9835837),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,Nanganallur,,,,,,,,,,,,,,Chennai,23,600061,4th Main Road,Mo-Su 10:00-17:00; Fr off,+91 44 2224 2666,,,,,,,,,,,,,,sbi.03351@sbi.co.in,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1779341 13.0185837),bank,,Allahabad Bank,Q2018840,en:Allahabad Bank,Allahabad Bank,Allahabad Bank,,,https://www.allahabadbank.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.188552 12.9835972),bank,,Union Bank of India,Q2004078,en:Union Bank of India,Union Bank of India,Union Bank of India,UBI,,https://www.unionbankofindia.co.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2567427 13.0749608),bank,yes,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,ICICI Bank,ICICI,,https://www.icicibank.com,,,,,,,,,,,,,,,,,Mo-Sa 09:30-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2422581 13.0350513),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,,,,South boag road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2185187 13.091894),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2589304 12.9780023),bank,,ICICI Bank,Q1653258,,ICICI Bank,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2556313 12.9883429),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2562428 12.9907533),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://www.sbi.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2078803 13.0662485),bank,,,,,"Chennai Co-operative Bank, SAF Games Village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1887825 12.9829228),bank,,,,,Kanchipuram Cooperative Society Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1859959 12.9855316),bank,yes,Punjab National Bank,Q2743499,en:Punjab National Bank,Punjab National Bank,Punjab National Bank,PNB,,https://www.pnbindia.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1858832 12.9871207),bank,yes,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1923971 12.9847392),bank,yes,Karnataka Bank,Q2042632,en:Karnataka Bank,Karnataka Bank,,,Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2304384 12.9250623),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,Chennai,5/318,600097,Rajiv Gandhi Salai,24/7,,,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2183745 13.0844643),bank,yes,Canara Bank,Q2003777,en:Canara Bank,Canara Bank,Canara Bank,,Anna Nagar,https://www.canarabank.com/,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,ਕੇਨਰਾ ਬੈਂਕ,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,Chennai,19,600040,3rd Avenue,"10:00-17:00;Mo-Sa 10:00-16:00, Sa[2,4] off",,,,,,,,,,,,,,,,,0,A,Anna Nagar East,limited,,,,,,,,,,,,,,,,,,,,
POINT (80.1918289 12.9730016),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,Indian Bank,,,,,,,,,,,,,,,,,Q2003789,en:Indian Bank,,,,,,,,,,,,,,,,,,
POINT (80.234096 13.0370131),bank,yes,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,KVB,,https://www.kvb.co.in,,,,,,,,,,,,,,,,Dhandapani Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2455467 13.0308653),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2532833 13.0386988),bank,yes,Punjab National Bank,Q2743499,en:Punjab National Bank,Punjab National Bank,Punjab National Bank,PNB,,https://www.pnbindia.in,,,,,,,,,,,,,chennai,44,600018,Eldams Road,,,,,punjab national bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2230059 13.0224668),bank,no,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,Karaneeswar Koil Street,,,,,Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2241076 13.0221903),bank,yes,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,ICICI Bank,ICICI,,https://www.icicibank.com,,,,,,,,,,,,,Chennai,,600015,Jeenis Road,,,,,,,,,,,,,,,,,,,,Saidapet,,,,,,,,,,,,,,,,,,,,,
POINT (80.227231 13.0244353),bank,yes,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,KVB,,https://www.kvb.co.in,,,,,,,,,,,,,,,600015,Potter Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2252479 13.0444066),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2271485 13.0505769),bank,,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,KVB,,https://www.kvb.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2241619 13.0548465),bank,,Bank of India,Q2004439,en:Bank of India,Bank of India,Bank of India,BoI,,https://www.bankofindia.co.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2359004 13.043019),bank,yes,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,KVB,,https://www.kvb.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2409517 13.0515011),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2213102 12.8954906),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://www.sbi.co.in,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2395463 13.0407297),bank,,Bank of India,Q2004439,en:Bank of India,Bank of India,Bank of India,BoI,,https://www.bankofindia.co.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2211579 13.0395257),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,https://www.hdfcbank.com,,,,,,,,,,,,,Chennai,,600033,Arya Gowda Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.252504 12.9993994),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,IOB,,https://www.iob.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2511529 12.9983711),bank,,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,https://www.indianbank.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2570811 12.9992779),bank,,Bank of Baroda,Q2003797,en:Bank of Baroda,Bank of Baroda,Bank of Baroda,BoB,,http://www.bankofbaroda.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
