geometry,brand,brand:wikidata,brand:wikipedia,name,name:ta,shop,addr:city,addr:postcode,addr:street,bench,bin,bus,highway,organic,public_transport,shelter,website,landuse,operator,addr:housenumber,air_conditioning,changing_table,check_date,currency:INR,internet_access,name:en,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:upi,payment:visa,second_hand,toilets,toilets:wheelchair,wikidata,wikipedia,source,building:levels,phone,ref:vatin,wheelchair,old_addr:housenumber,opening_hours,alt_name,is_in,note,addr:country,addr:place,comment,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,description,payment:maestro,addr:full,level,image,panoramax,addr:district,building,payment:google_pay
POINT (80.2547228 13.0309488),,,,,,supermarket,,600018,Abhiramapuram 4th Street,,,,,,,,https://www.terraearthfood.com,,,39,,,,,,Terra Earthfood Store,,,,,,,,,,,,,,+91 44 42088800,,,,Mo-Su 08:30-20:30,,,,,,,,,,,,,,,,,,,
POINT (80.2640619 12.9945334),,,,Alchemy Media Marketing,,supermarket,Chennai,600090,Rukmani Road,,,,,,,,https://alchemy-media-marketing.com,,,56/16,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-17:00,,,,,,,,,,,Home improvement Products,,,,,,,,
POINT (80.2014918 13.1255155),,,,Venkateshwara fruit shop,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2017441 13.126522),,,,Reliance super market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.216663 12.9911157),Big Bazaar,Q3631008,,Big Bazaar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2210455 13.0077889),,,,TecEx India Private Limited,,supermarket,Chennai,600032,"Little Mount, Kotturpuram",,,,,,,,https://tecex.com/,,,2669+M7G,,,,,,,,,,,,,,,,,,,,(02) 9056 4057,,,,Mon - Thu 8:00-18:00; Fri 8:00 - 17:00,,,,,,,,,,,TecEx is a leading provider of import/export and compliance solutions for the IT industry. Our team of professionals is committed to providing seamless and secure transportation of IT hardware and technology equipment worldwide.,,,,https://local-platform.s3.us-east-2.amazonaws.com/location/logo/53918/9AhONWTswKTcdKQzHlOZ01BkGTwagNV8QnxyYJH6.png,,,,
POINT (80.1655614 13.0759757),,,,Jeevan,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,,,,,,
POINT (80.1714303 13.0777907),,,,Smart Bazzar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2263691 13.0473227),,,,Grace Super market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2795842 13.0944353),,,,Gupta pan bhandar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.279808 13.0956228),,,,Rakshkumar & Co,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2017243 13.1286953),,,,grace supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2017644 13.1295276),,,,Sivaram stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2402905 12.9412022),,,,Amma Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1534391 13.1262141),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1532965 13.0148344),,,,Nikis SuperMarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2240167 13.0131367),,,,Daniel Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2546834 13.0090742),,,,Vanga Vanga,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2539882 13.0096655),,,,Green Bean,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2519401 13.0097391),,,,Fresh2day,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2200924 12.9720714),DMart,Q5203271,,DMart,,supermarket,,,,,,,,,,,,,,,,,2026-03-11,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;1,,,,,
POINT (80.2084569 13.1027446),,,,,,supermarket,,600049,Madras Tiruvallur High Road,,,,,,,,,,,,,,2026-03-11,,,Grace Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2705059 13.0338908),,,,Ambika Appalam Depot ( Department Store ),,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,,,bdcdbef0-3c84-4181-bf28-e00faec9dafa,,,
POINT (80.1794808 13.0868082),,,,Sri Balaji Supermarket,,supermarket,,,,,,,,,,,,,,,,,2026-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2178059 12.9876878),,,,Diyamart,,supermarket,Chennai,600042,Marudupandi Street,,,,,,,,https://www.diyamart.com/,,,2,yes,,,,,,,,,,,,,,,,,,,+919445477032,,,,,,,,,,,,,,,,,,,,,Chennai,,
"POLYGON ((80.2177812 13.0901849, 80.2179756 13.0901875, 80.2179743 13.0900895, 80.2177785 13.0900882, 80.2177812 13.0901849))",,,,Yesesi Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2058621 13.0849276, 80.2058542 13.0847862, 80.2060997 13.0847836, 80.206105 13.0849173, 80.2058621 13.0849276))",,,,Santosh Super Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((80.2215507 13.024358, 80.2216746 13.0243666, 80.2216551 13.0246752, 80.221533 13.0246666, 80.2215507 13.024358))",Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,Saidapet,600015,Tank Square Street,,,,,,,,,,Reliance Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((80.1692619 13.1319648, 80.1694771 13.1319472, 80.1694658 13.1318166, 80.1692506 13.1318342, 80.1692619 13.1319648))",,,,Reliance Smart Superstore,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.1490986 13.1229214, 80.1493722 13.1226931, 80.1493636 13.1226441, 80.1493252 13.1226036, 80.1490478 13.122865, 80.1490986 13.1229214))",,,,Ponnu Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.1783372 13.0164561, 80.1784771 13.0164246, 80.1784434 13.0162828, 80.1783035 13.0163144, 80.1783372 13.0164561))",Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,https://www.nilgiris1905.com/,,Nilgiris1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2437089 12.9599603, 80.243817 12.9599241, 80.2437435 12.9597092, 80.2436233 12.9597453, 80.2436685 12.9598553, 80.2437089 12.9599603))",,,,JK Supermart,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-22:00,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.227011 13.0489507, 80.2271254 13.0489247, 80.2271086 13.0488543, 80.2269942 13.0488802, 80.227011 13.0489507))",,,,Pazhamudhir Nilayam,,supermarket,,,Viswanathapuram Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2049645 12.9656845, 80.2050659 12.9656636, 80.2050495 12.9655882, 80.2049481 12.9656092, 80.2049645 12.9656845))",,,,Himalayas supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2217708 13.0649738, 80.2219079 13.0649563, 80.2218865 13.0647968, 80.2217494 13.0648143, 80.2217708 13.0649738))",,,,Annachi Kadai,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2051679 12.9375889, 80.205718 12.9375271, 80.2056949 12.9373776, 80.2051486 12.9374258, 80.2051679 12.9375889))",More,Q6910891,,More,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.224531 13.075879, 80.2247579 13.0758607, 80.2247505 13.075773, 80.2245235 13.0757913, 80.224531 13.075879))",,,,Muthu Super Market,,supermarket,,,Ayyavoo Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2640384 13.0478346, 80.2641824 13.0478241, 80.2641608 13.0475439, 80.2640168 13.0475545, 80.2640384 13.0478346))",,,,Spencer's Food World,,supermarket,chennai,600014,Avvai Shanmugam Salai,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.151626 13.1192602, 80.1515352 13.1192866, 80.1515806 13.1194252, 80.1516758 13.119403, 80.151626 13.1192602))",,,,Rajan Supermarket,,supermarket,Chennai,,North Park Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.1499834 13.1224116, 80.1502271 13.1223605, 80.1502087 13.1221804, 80.1499482 13.1222351, 80.1499834 13.1224116))",,,,Pasumai Pazhamudir Nilayam,,supermarket,Chennai,600053,Old Township Road,,,,,,,,,,,,,,,,,,yes,yes,yes,,yes,,,,,,,,,,,,,Mo-Su 7:30-22:00,,,,,,,,,,,,,,,,,,yes,yes
"POLYGON ((80.1519857 13.1186438, 80.1518249 13.1187075, 80.1519429 13.1189831, 80.1521038 13.1189267, 80.1519857 13.1186438))",,,,blinkit Grocery store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2193299 13.0664605, 80.2194115 13.0664724, 80.219445 13.0662543, 80.2193635 13.0662424, 80.2193299 13.0664605))",,,,Velammal Store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.1480419 13.1215332, 80.1482401 13.1214007, 80.1478943 13.1212541, 80.1478586 13.1212734, 80.1480419 13.1215332))",,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.2360693 12.9666734, 80.2361282 12.9666671, 80.2361151 12.9665259, 80.2360585 12.9665354, 80.2360693 12.9666734))",,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,
"POLYGON ((80.1519012 13.1184589, 80.1521362 13.1183479, 80.1520021 13.118084, 80.1517627 13.118216, 80.1519012 13.1184589))",,,,Farm Bazzar,,supermarket,,,North Park Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.1536677 13.1190702, 80.1538001 13.1190549, 80.1537748 13.1188469, 80.1536424 13.1188622, 80.1536677 13.1190702))",,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
"POLYGON ((80.1496324 13.1203268, 80.1496025 13.1202327, 80.1498641 13.1199309, 80.1499181 13.1202728, 80.1496324 13.1203268))",,,,Kaveri Supermarket,,supermarket,Chennai,600053,Chennai - Tiruttani - Renigunta Road,,,,,,,,,,,,,,,,,,yes,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennai,yes,
"POLYGON ((80.2377171 12.987615, 80.2379129 12.9876163, 80.2379176 12.9875458, 80.2378714 12.9875451, 80.237872 12.9875562, 80.2377567 12.9875562, 80.2377574 12.9875438, 80.2377171 12.9875431, 80.2377171 12.987615))",,,,Prime Mart,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,yes,,Mo-Su 09:00-21:30; PH open,,,,,,,,,,,,,,0,,,,yes,
"POLYGON ((80.2366948 12.9566322, 80.2376389 12.9564845, 80.2376108 12.9562584, 80.2372755 12.9562545, 80.2372326 12.9552233, 80.2368665 12.9552495, 80.2369443 12.9561565, 80.2366425 12.9561931, 80.2366948 12.9566322))",DMart,Q5203271,,DMart,,supermarket,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((80.1523596 13.1185358, 80.1525585 13.1184648, 80.1525296 13.1183185, 80.1523126 13.1184323, 80.1523596 13.1185358))",,,,SSK Super Mart,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
