geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,created_by,check_date,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,cash_in,level,name:en,name:hi,name:kn,name:pa,name:pnb,name:ur,wheelchair,brand:wikipedia:pa,fee,designation,website,branch,addr:city,addr:postcode,addr:street,brand:ta,name:ta,addr:housenumber,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,description,phone,network,official_name,atm,longitude,latitude
POINT (80.2572843 13.0391457),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2572843,13.039145699999999
POINT (80.2408671 12.8589741),atm,,,,,,,,UTI,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2408671,12.8589741
POINT (80.2562651 12.9901845),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,2022-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2562651,12.990184499999996
POINT (80.2763979 13.0821882),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2763979,13.082188199999997
POINT (80.2743817 13.0830047),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,,2026-02-22,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,no,0.0,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,no,,,,,,,,,,,,,,,,,,,,,,,,80.2743817,13.083004699999995
POINT (80.2345589 12.9864212),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2345589,12.986421200000002
POINT (80.2375224 12.9871846),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2375224,12.9871846
POINT (80.2065688 13.0214305),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2065688,13.021430499999997
POINT (80.1853119 13.0200993),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,ਕੇਨਰਾ ਬੈਂਕ,,,,,,,,,,,,,,,,,,,,,,,80.1853119,13.0200993
POINT (80.17608 13.0255546),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,,Axis Bank,,Q2003549,en:Axis Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.17608,13.025554600000001
POINT (80.161486 13.0330479),atm,Karnataka Bank,,Q2042632,,,,,,,,Karnataka Bank,,Q2042632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.161486,13.033047899999998
POINT (80.2468368 13.0403524),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2468368,13.040352399999998
POINT (80.2473065 13.0383319),atm,,,,,,,,SBT,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2473065,13.0383319
POINT (80.2561125 13.0379504),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2561125,13.037950399999998
POINT (80.2108563 13.0088634),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,2021-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2108563,13.008863400000003
POINT (80.2789117 13.0886267),atm,,,,,,,yes,,,,Central Bank,,,,,,2023-11-03,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2789117,13.0886267
POINT (80.2233204 13.0237416),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,ਕੇਨਰਾ ਬੈਂਕ,,,,,,,,,,,,,,,,,,,,,,,80.2233204,13.023741600000001
POINT (80.2473617 13.0425953),atm,Deutsche Bank,,Q66048,en:Deutsche Bank,,,,Deutsche Bank,,,Deutsche Bank,,Q66048,en:Deutsche Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2473617,13.042595300000002
POINT (80.2090043 13.0676022),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2090043,13.067602199999998
POINT (80.2580237 12.972808),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,80.2580237,12.972808000000002
POINT (80.2099457 12.9472312),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,no,,,,,,,,,,,,,,,,,,,,,,80.2099457,12.947231199999997
POINT (80.2069066 12.9580151),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2069066,12.9580151
POINT (80.2620152 12.9771873),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2620152,12.977187299999999
POINT (80.157572 13.1190245),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.157572,13.119024499999998
POINT (80.1571858 13.1185673),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1571858,13.1185673
POINT (80.2365734 13.010885),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,no,ATM,,,,,,,,,,,,,,,,,,,,,80.2365734,13.010885
POINT (80.2365815 13.0109662),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2365815,13.010966199999999
POINT (80.2365761 13.0109295),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,no,ATM,,,,,,,,,,,,,,,,,,,,,80.2365761,13.0109295
POINT (80.197456 13.0906312),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,80.197456,13.0906312
POINT (80.2032432 12.9312463),atm,UCO Bank,,Q2005310,,,,,UCO Bank,,,UCO Bank,,Q2005310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2032432,12.931246300000002
POINT (80.2518985 12.9850549),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2518985,12.9850549
POINT (80.2619056 12.9776563),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2619056,12.977656300000001
POINT (80.2063461 13.0673948),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2063461,13.067394799999999
POINT (80.2059546 13.0672458),atm,Karur Vysya Bank,,Q6373724,,,,,,,,Karur Vysya Bank,,Q6373724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2059546,13.0672458
POINT (80.2053376 13.0672564),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2053376,13.067256400000002
POINT (80.2224648 13.0252186),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2224648,13.025218599999997
POINT (80.2164316 13.0367469),atm,,,,,,,,,,,Karur Vysa Bank ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2164316,13.036746899999997
POINT (80.1738652 13.0218567),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1738652,13.0218567
POINT (80.2037784 12.9342733),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2037784,12.934273299999997
POINT (80.2394049 12.945469),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,HDFC,,,,,,,,,,,,,,,,,,,,,80.2394049,12.945469
POINT (80.2383175 12.9443554),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,80.2383175,12.944355399999997
POINT (80.2398438 12.9463896),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2398438,12.9463896
POINT (80.1931909 12.9824816),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1931909,12.982481599999996
POINT (80.1880412 12.9855368),atm,Karur Vysya Bank,,Q6373724,en:Karur Vysya Bank,,no,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,en:Karur Vysya Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1880412,12.985536799999997
POINT (80.1883532 12.976295),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1883532,12.976294999999997
POINT (80.1885197 12.9861219),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1885197,12.986121900000002
POINT (80.1886779 12.9857036),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1886779,12.985703599999999
POINT (80.1984144 12.9649901),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1984144,12.9649901
POINT (80.1779117 13.0185251),atm,Allahabad Bank,,Q2018840,en:Allahabad Bank,,,,Allahabad Bank,,,Allahabad Bank,,Q2018840,,,,,,,,,,,,Allahabad Bank,,,,,,,,,,https://www.allahabadbank.in,,,,,,,,,,,,,,,,,,,,80.1779117,13.018525100000002
POINT (80.190054 12.9828837),atm,Bank of India,,Q2004439,en:Bank of India,,,,Bank of India,,,Bank of India,,Q2004439,en:Bank of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.190054,12.982883699999999
POINT (80.2702977 13.0753058),atm,,,,,,,,,,,Karur Vysya Bank ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2702977,13.075305799999999
POINT (80.2703513 13.0752954),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2703513,13.075295399999998
POINT (80.2692785 13.0755619),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2692785,13.075561899999997
POINT (80.2644773 13.0782216),atm,,,,,,,,,,,Axis Bank ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2644773,13.078221600000001
POINT (80.191639 12.982757),atm,,,,,,,,,,,Lakshmi vilas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.191639,12.982757
POINT (80.174431 13.014905),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,ATM  Manapakkam,,,,,,,,,,,,,,,,,,,80.174431,13.014905
POINT (80.2079847 13.0652135),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2079847,13.0652135
POINT (80.1868905 12.9941189),atm,Standard Chartered,,Q548278,en:Standard Chartered,,,,Standard Chartered,,,Standard Chartered,,Q548278,en:Standard Chartered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1868905,12.9941189
POINT (80.1878291 12.9948375),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1878291,12.994837499999997
POINT (80.1879671 12.9789502),atm,Karur Vysya Bank,,Q6373724,en:Karur Vysya Bank,,,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,en:Karur Vysya Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1879671,12.978950200000002
POINT (80.188365 12.9859735),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,ਕੇਨਰਾ ਬੈਂਕ,,کینرا بینک,,ਕੇਨਰਾ ਬੈਂਕ,,,,,,,,,,,,,,,,,,,,,,,80.188365,12.9859735
POINT (80.2221539 13.0252072),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2221539,13.025207199999997
POINT (80.2231378 13.0241326),atm,Karur Vysya Bank,,Q6373724,,,,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2231378,13.0241326
POINT (80.2230072 13.0226851),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,Saidapet,600015.0,Karaneeswar Koil Street,,,,,,,,,,,,,,,,80.2230072,13.0226851
POINT (80.217252 13.0241666),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,Saidapet,600015.0,Rengabashyam St,,,,,,,,,,,,,,,,80.21725200000002,13.024166599999997
POINT (80.2216528 13.0205626),atm,Bank of India,,Q2004439,en:Bank of India,,,,Bank of India,,,Bank of India,,Q2004439,en:Bank of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2216528,13.020562599999998
POINT (80.2241498 13.0221002),atm,Punjab National Bank,,Q2743499,en:Punjab National Bank,,,,Punjab National Bank,,,Punjab National Bank,,Q2743499,en:Punjab National Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2241498,13.022100199999997
POINT (80.2195493 13.0195941),atm,,,,,,,,,,,Punjab & Sindh Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2195493,13.019594100000003
POINT (80.219551 13.0196305),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.21955100000001,13.019630499999995
POINT (80.2193817 13.0196763),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,Mosque Street,,,,,,,,,,,,,,,,80.2193817,13.0196763
POINT (80.2200815 13.0197652),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2200815,13.0197652
POINT (80.2206296 13.019832),atm,Karur Vysya Bank,,Q6373724,,,,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2206296,13.019831999999997
POINT (80.21941 13.0198726),atm,,,,,,,,,,,Lakshmi Vilas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mosque Street,,,,,,,,,,,,,,,,80.21941,13.0198726
POINT (80.2245368 13.0244553),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,600015.0,Jones Road,,,,,,,,,,,,,,,,80.2245368,13.024455300000001
POINT (80.2163635 13.0232974),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,West Perumal Koil Mada Street,,,,,,,,,,,,,,,,80.21636350000001,13.023297399999999
POINT (80.2164689 13.0239202),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,ਕੇਨਰਾ ਬੈਂਕ,,,,,,,West Perumal Koil Mada Street,,,,,,,,,,,,,,,,80.2164689,13.023920199999994
